LocationID,City,Country,Coordinates
108,DALLAS,UNITED STATES,"(32.7936, -96.7662)"
109,CHANGDE,CHINA,"(29.0397, 111.6839)"
110,DAZHOU,CHINA,"(31.2152, 107.4947)"
111,SUZHOU,CHINA,"(33.6333, 116.9683)"
112,PHILADELPHIA,UNITED STATES,"(40.0077, -75.1339)"
113,JIEYANG,CHINA,"(23.5533, 116.3649)"
114,NAIROBI,KENYA,"(-1.2864, 36.8172)"
115,NANGANDAO,CHINA,"(35.2992, 113.8851)"
116,ANKARA,TURKEY,"(39.93, 32.85)"
117,TAI'AN,CHINA,"(36.2001, 117.0809)"
118,YULIN,CHINA,"(22.6293, 110.1507)"
119,DEZHOU,CHINA,"(37.4513, 116.3105)"
120,HOUSTON,UNITED STATES,"(29.7863, -95.3889)"
121,ATLANTA,UNITED STATES,"(33.7627, -84.4224)"
122,RANGOON,BURMA,"(16.8, 96.15)"
123,TORONTO,CANADA,"(43.7417, -79.3733)"
124,SUIHUA,CHINA,"(46.6384, 126.9808)"
125,WASHINGTON,UNITED STATES,"(38.9047, -77.0163)"
126,QIQIHAR,CHINA,"(47.3398, 123.9512)"
127,JINHUA,CHINA,"(29.1046, 119.6494)"
128,SAINT PETERSBURG,RUSSIA,"(59.95, 30.3167)"
129,SHANTOU,CHINA,"(23.3735, 116.6941)"
130,SYDNEY,AUSTRALIA,"(-33.865, 151.2094)"
131,WEINAN,CHINA,"(34.4996, 109.4684)"
132,SUQIAN,CHINA,"(33.9331, 118.2831)"
133,GUADALAJARA,MEXICO,"(20.6767, -103.3475)"
134,SUZHOU,CHINA,"(31.304, 120.6164)"
135,FUZHOU,CHINA,"(26.0769, 119.2917)"
136,ZHAOTONG,CHINA,"(27.3328, 103.7144)"
137,PUDONG,CHINA,"(31.2231, 121.5397)"
138,YONGZHOU,CHINA,"(26.4515, 111.5953)"
139,BELO HORIZONTE,BRAZIL,"(-19.8917, -43.9478)"
140,ZHANGZHOU,CHINA,"(24.5093, 117.6612)"
141,BOZHOU,CHINA,"(33.8626, 115.7742)"
142,MELBOURNE,AUSTRALIA,"(-37.8136, 144.9631)"
143,NANCHANG,CHINA,"(28.6842, 115.8872)"
144,XIANYANG,CHINA,"(34.35, 108.7167)"
145,TAIZHOU,CHINA,"(32.4831, 119.9)"
146,SURABAYA,INDONESIA,"(-7.2458, 112.7378)"
147,ABIDJAN,CÔTE D’IVOIRE,"(5.3364, -4.0267)"
148,JI'AN,CHINA,"(27.1172, 114.9793)"
149,MIANYANG,CHINA,"(31.4669, 104.7385)"
150,SHAOXING,CHINA,"(30.0, 120.5833)"
151,ALEXANDRIA,EGYPT,"(31.2, 29.9167)"
152,YUNCHENG,CHINA,"(35.0304, 110.998)"
153,PINGDINGSHAN,CHINA,"(33.735, 113.2999)"
154,HUAI'AN,CHINA,"(33.5, 119.1331)"
155,XINPU,CHINA,"(34.5906, 119.1801)"
156,GUILIN,CHINA,"(25.2667, 110.2833)"
157,HUAIHUA,CHINA,"(27.5494, 109.9592)"
158,JIUJIANG,CHINA,"(29.7048, 116.0021)"
159,ANQING,CHINA,"(30.5, 117.0333)"
160,BOSTON,UNITED STATES,"(42.3188, -71.0846)"
161,HUANGLONGSI,CHINA,"(34.7936, 114.3403)"
162,XIAOGANZHAN,CHINA,"(30.9273, 113.911)"
163,CHANGZHOU,CHINA,"(31.8122, 119.9692)"
164,BARCELONA,SPAIN,"(41.3825, 2.1769)"
